the_geom,cartodb_id,x,y,codid,direccion,localidad,tipointer,disppdm,fechaimplementacion
0101000020E61000006ACFD9C0658452C000E1EC184F971240,35,-74.06871053,4.64776267,337,KR 18 X CL 60,TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,2000-06-28
0101000020E6100000B6153577788452C081BC5962E9981240,36,-74.06985264,4.64932779,363,KR 20 X DG 61B,TEUSAQUILLO,VEHICULAR,SIN,1984-04-10
0101000020E61000003578E3CD6F8452C000EB98EB1B991240,37,-74.06932399,4.64952057,349,KR 19A X DG 61B,TEUSAQUILLO,VEHICULAR,SIN,1994-11-16
0101000020E61000003D6182E0D28452C0FA1FF83149951240,38,-74.07537091,4.64578703,491,TV 28 X AV GILBERTO ALZATE AVENDANO (AC 57),TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1997-08-03
0101000020E6100000434FF323B88452C0BDBA7E038B921240,39,-74.07373904,4.64310842,453,AV COLOMBIA (TV 24) X CL 53B,TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1990-07-01
0101000020E6100000BD69B91AB68452C03EE948CBD4921240,40,-74.07361477,4.64338987,450,AV COLOMBIA (TV 24) X DG 53C,TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1990-07-01
0101000020E61000007B95E787B28452C083D1CE06EC941240,41,-74.07339666,4.64543162,444,TV 25 X AV GILBERTO ALZATE AVENDANO (AC 57),TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1993-06-17
0101000020E6100000966158D5BD8452C003B3710EE8961240,42,-74.07408651,4.6473696,463,AK 24 X DG 61C,TEUSAQUILLO,VEHICULAR,SIN,1987-09-25
0101000020E61000009BDD83A5B48452C005D1FAC69D971240,43,-74.07352579,4.64806281,449,AV COLOMBIA (AK 24) X DG 61D,TEUSAQUILLO,VEHICULAR,SIN,1993-08-26
0101000020E61000003EA9B517AE8452C0FEB6B9EF20971240,44,-74.07312577,4.64758658,439,AV COLOMBIA (TV 24) X DG 61B,TEUSAQUILLO,VEHICULAR,SIN,1993-08-26
0101000020E6100000F50EF238948452C003ED37C945931240,45,-74.07154678,4.6438209,398,KR 21 X DG 54,TEUSAQUILLO,VEHICULAR,SIN,1998-06-30
0101000020E61000004186A7BAB48552C07E72BB1B34891240,46,-74.08915583,4.63398784,593,AV PEDRO LEON TRABUCHY (AK 40) X AV JORGE ELIECER GAITAN (AC 26),TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1994-08-25
0101000020E6100000C5B6D3D6C88552C03B5B210FF1911240,47,-74.09038325,4.64252113,603,AV BATALLON CALDAS (AK 50) X CL 44,TEUSAQUILLO,"VEHICULAR, PEATONAL, BICIUSUARIOS",SIN,1998-06-25
0101000020E61000009A3B9FA63B8552C03F8ED906AC581240,48,-74.0817658,4.58659373,953,KR 7 X AV DE LA HORTUA (CL 1),SANTA FE,"VEHICULAR, PEATONAL",SIN,1989-09-13
0101000020E61000005A6434B84E8552C08545FA0689591240,49,-74.08292966,4.58743678,954,KR 8 X AV DE LA HORTUA (CL 1),SANTA FE,"VEHICULAR, PEATONAL",SIN,1989-09-13
0101000020E61000003BB612786F8552C005A59BAB835B1240,50,-74.08492853,4.58936947,956,AV FERNANDO MAZUERA (AK 10) X AV DE LA HORTUA (CL 1),SANTA FE,"VEHICULAR, PEATONAL",SIN,2004-07-01
0101000020E61000003D6084A7D28552C0C3DC53C596801240,51,-74.09098232,4.625575145,608,AV CUNDINAMARCA (AK 36) X AV DE LAS AMERICAS (AC 20),PUENTE ARANDA,"VEHICULAR, PEATONAL",SIN,1983-06-24
0101000020E6100000DB863002D38552C0BEDC0A8243831240,52,-74.09100394,4.62818721,607,KR 37 X AV DE LA ESPERANZA (AC 24),TEUSAQUILLO,VEHICULAR,SIN,1993-03-11
0101000020E61000002E11981CF18552C03CA35A2306861240,53,-74.09284129,4.63088279,617,AV PEDRO LEON TRABUCHY (AK 40) X AV DE LA ESPERANZA (AC 24),TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1995-01-27
0101000020E6100000859A7C0EC78552C0BFB66712CC871240,54,-74.09027445,4.63261441,601,AV PEDRO LEON TRABUCHY (AK 40) X CL 25,TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1995-03-11
0101000020E6100000B1D9CCDF8C8552C040910C39B6821240,55,-74.08672328,4.62764825,577,KR 33 X CL 25,TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1994-12-02
0101000020E61000000114234BA68552C082E03D3015851240,56,-74.08827475,4.62996364,588,KR 37 X CL 25,TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1995-02-05
0101000020E6100000469D565D098552C0C2CE89FB97651240,57,-74.07869657,4.59921258,525,AV FERNANDO MAZUERA (AK 10) X CL 10,CANDELARIA,EXCLUSIVA PEATONAL,SIN,1993-11-08
0101000020E6100000A9B3198E848452C0FB9965AABB5D1240,58,-74.07059052,4.5915362,943,AV PATRICIO SAMPER GNECCO (KR 3 ESTE) X CL 7,CANDELARIA,"VEHICULAR, PEATONAL",SIN,2004-10-07
0101000020E610000051D016A57E8452C03DB55053475E1240,59,-74.07022979,4.59206896,942,AV PATRICIO SAMPER GNECCO (KR 3 ESTE) X CL 9,CANDELARIA,"VEHICULAR, PEATONAL",SIN,2004-10-07
0101000020E610000016078662E18452C0843A8CEEC5601240,60,-74.0762564,4.59450505,946,KR 6 X CL 7,CANDELARIA,VEHICULAR,SIN,1998-09-05
0101000020E61000007E7CD7DA5A8552C0046C9B5E39751240,61,-74.08367034,4.61447666,558,KR 22 X AV CIUDAD DE LIMA (AC 19),LOS MARTIRES,"VEHICULAR, PEATONAL",SIN,1996-03-15
0101000020E6100000B92222A9438552C040D36A27CE761240,62,-74.08225468,4.61602079,548,KR 22 X AV FERROCARRIL DE OCCIDENTE (AC 22),LOS MARTIRES,VEHICULAR,SIN,2000-02-16
0101000020E610000025BFB0C20E8552C0FD07CD6C5F711240,63,-74.07902591,4.61071558,532,KR 17 X AV CIUDAD DE LIMA (AC 19),LOS MARTIRES,VEHICULAR,SIN,2005-06-20
0101000020E61000007D921337F88452C03BF00D8D40731240,64,-74.07764985,4.61255093,519,KR 17 X CL 22,LOS MARTIRES,VEHICULAR,SIN,1984-01-10
0101000020E61000002A379367058552C07F35D35A24771240,65,-74.07845487,4.61634962,524,AV MARISCAL SUCRE (AK 19) X CL 23,LOS MARTIRES,VEHICULAR,SIN,1993-12-22
0101000020E6100000ADBAD2BB038552C0C07440AA12771240,66,-74.07835289,4.616282139,1174,AV MARISCAL SUCRE (AK 19) X DG 23BIS Y CL 23,LOS MARTIRES,VEHICULAR,SIN,1993-12-22
0101000020E6100000126446708A8452C0826F8D7C1C691240,67,-74.07094962,4.60264773,390,KR 5 X CL 17,SANTA FE,"VEHICULAR, PEATONAL",SIN,1998-06-30
0101000020E610000099217E93A08452C04498469BFC691240,68,-74.07230079,4.60350268,421,KR 7 X CL 17,SANTA FE,"VEHICULAR, PEATONAL",SIN,1997-04-23
0101000020E61000003164D0649A8452C0BCBAF130E56A1240,69,-74.07192345,4.60438992,411,KR 7 X CL 18,SANTA FE,"VEHICULAR, PEATONAL",SIN,1997-03-01
0101000020E6100000E76B5C207D8452C0FE3D739CFC6A1240,70,-74.07013711,4.60447926,375,KR 5 X AV CIUDAD DE LIMA (AC 19),SANTA FE,"VEHICULAR, PEATONAL",SIN,1997-01-03
0101000020E6100000CE925BEE678452C0FCB645990D6A1240,71,-74.06884345,4.6035675,340,KR 4 X AV CIUDAD DE LIMA (AC 19),SANTA FE,"VEHICULAR, PEATONAL",SIN,1997-02-26
0101000020E61000005DB97C569F8452C07D0512565B6C1240,72,-74.07222521,4.60581717,419,KR 8 X AV CIUDAD DE LIMA (AC 19),SANTA FE,"VEHICULAR, PEATONAL",SIN,1995-04-10
0101000020E61000002144C021948452C0416C7751EC6B1240,73,-74.07154125,4.60539367,401,KR 7 X AV CIUDAD DE LIMA (AC 19),SANTA FE,"VEHICULAR, PEATONAL",SIN,1994-06-01
0101000020E6100000D7527A85C98452C0C40DBF96B56B1240,74,-74.07479989,4.605184894,479,AV FERNANDO MAZUERA (AK 10) X CL 17,SANTA FE,"VEHICULAR, PEATONAL",SIN,1997-02-25
0101000020E61000006B3FBE29D18452C03F0D3D9C9F6E1240,75,-74.0752663,4.60803074,485,KR 13 X AV CIUDAD DE LIMA (AC 19),SANTA FE,"VEHICULAR, PEATONAL",SIN,1997-03-02
0101000020E61000007DE31016BA8452C00016D396846D1240,76,-74.0738578,4.6069511,456,AV FERNANDO MAZUERA (AK 10) X AV CIUDAD DE LIMA (AC 19),SANTA FE,"VEHICULAR, PEATONAL",SIN,1978-08-16
0101000020E61000004138A93FAD8452C0C425FA63F76C1240,77,-74.07307426,4.60641247,440,KR 9 X AV CIUDAD DE LIMA (AC 19),SANTA FE,"VEHICULAR, PEATONAL",SIN,1995-04-10
0101000020E6100000074C9649C38452C0C08CFFAFF86D1240,78,-74.0744194,4.60739398,475,KR 12 X AV CIUDAD DE LIMA (AC 19),SANTA FE,"VEHICULAR, PEATONAL",SIN,1997-05-23
0101000020E61000006BDF160BC78452C0FB3A630C6A6F1240,79,-74.07464864,4.60880298,478,KR 13 X CL 20,SANTA FE,"VEHICULAR, PEATONAL",SIN,1995-04-10
0101000020E610000037A19439AB8452C0FD2E366BF86F1240,80,-74.07295074,4.60934608,438,KR 12 X CL 22,SANTA FE,"VEHICULAR, PEATONAL",SIN,1995-04-10
0101000020E610000081B710DCAF8452C07C19AA622A711240,81,-74.07323362,4.61051325,442,KR 13 X CL 23,SANTA FE,"VEHICULAR, PEATONAL",SIN,1993-12-06
0101000020E61000003DCCDBC7C08452C0C02B4CBE5D731240,82,-74.0742664,4.61266229,468,AV CARACAS (AK 14) X CL 24,SANTA FE,"VEHICULAR, PEATONAL",SIN,2001-01-15
0101000020E61000009541167E9D8452C002D9D2618D701240,83,-74.07211258,4.60991433,413,AV FERNANDO MAZUERA (AK 10) X CL 23,SANTA FE,"VEHICULAR, PEATONAL",SIN,1993-06-12
0101000020E61000001F52252D898452C08510D40010711240,84,-74.07087258,4.61041261,388,KR 9 X CL 24,SANTA FE,"VEHICULAR, PEATONAL",SIN,1993-08-30
0101000020E6100000EAEA4CA9A48452C03DBBA58B03721240,85,-74.07255013,4.61134165,427,KR 13 X CL 24,SANTA FE,"VEHICULAR, PEATONAL",SIN,1993-12-06
0101000020E61000006DA3E81EA58452C0FF62E34DC06F1240,86,-74.07257817,4.60913202,429,AV FERNANDO MAZUERA (AK 10) X CL 22,SANTA FE,"VEHICULAR, PEATONAL",SIN,1995-04-10
0101000020E610000052B8DC68998452C040DEDE1C4B6F1240,87,-74.07186338,4.60868497,408,KR 9 X CL 22,SANTA FE,"VEHICULAR, PEATONAL",SIN,1993-09-28
0101000020E6100000E38941DC6C8452C040E908649F6D1240,88,-74.06914431,4.60705334,348,KR 5 X CL 22,SANTA FE,VEHICULAR,SIN,1993-09-28
0101000020E61000002FDE6ECD868452C08042AACDA46E1240,89,-74.07072769,4.60805055,385,KR 7 X CL 22,SANTA FE,"VEHICULAR, PEATONAL",SIN,1995-05-05
0101000020E6100000A66DF418828452C005D57F31B66F1240,90,-74.07044052,4.60909345,379,KR 7 X CL 23,SANTA FE,"VEHICULAR, PEATONAL",SIN,1995-05-05
0101000020E61000006E510359D18452C0FC029DA454711240,91,-74.07527757,4.61067445,487,AV CARACAS (AK 14) X CL 22,SANTA FE,"VEHICULAR, PEATONAL",SIN,1993-12-01
0101000020E6100000DF558B5FE38452C0BB21258F0A741240,92,-74.07637776,4.61332153,504,KR 17 X CL 23,LOS MARTIRES,"VEHICULAR, PEATONAL",SIN,1994-10-11
0101000020E61000002E5861C8648452C03E38ED109C6E1240,93,-74.06865129,4.60801722,338,KR 5 X CL 23,SANTA FE,"VEHICULAR, PEATONAL",SIN,1993-09-28
0101000020E6100000655517FF5D8452C04684F9F8726F1240,94,-74.06823709,4.608837023,327,KR 5 X CL 24,SANTA FE,"VEHICULAR, PEATONAL",SIN,1997-04-25
0101000020E6100000B3112F1FEE8352C07C62CD1767691240,95,-74.0614088,4.602932331,210,AV JIMENEZ (CL 22) X FUNICULAR,CANDELARIA,"VEHICULAR, PEATONAL","BOTON, SONORO",1989-05-16
0101000020E61000003EF5F7CEFF8352C07D31D650CD691240,96,-74.06248831,4.60332228,225,AV PATRICIO SAMPER GNECCO (KR 1 ESTE) X AV JIMENEZ (CL 22),CANDELARIA,VEHICULAR,SIN,1989-05-16
0101000020E6100000291FE5D44C8452C07D9C90CEA7731240,97,-74.06718943,4.61294482,316,KR 5 X CL 26C,SANTA FE,"VEHICULAR, PEATONAL",SIN,1989-10-10
0101000020E6100000B9236C70498452C0BF787D8382741240,98,-74.06698237,4.61377912,304,KR 5 X CL 27,SANTA FE,"VEHICULAR, PEATONAL",SIN,1989-10-10
0101000020E610000072C15B18108552C04225977B587A1240,99,-74.07910737,4.61947816,531,KR 24 X CL 24,LOS MARTIRES,"VEHICULAR, PEATONAL",SIN,2006-10-25
0101000020E6100000AE18E8B9098552C0408B719BFC781240,100,-74.07871864,4.61815112,527,KR 19B X DG 23BIS,LOS MARTIRES,VEHICULAR,SIN,1994-05-04
0101000020E61000001FB0FE117E8452C0000D2F6FAB701240,101,-74.07019472,4.61002897,373,KR 7 X CL 24,SANTA FE,"VEHICULAR, PEATONAL",SIN,1993-08-30
0101000020E6100000F6ED40778B8452C03EDB5DF3EC741240,102,-74.07101232,4.614185145,383,KR 13 X CL 26A,SANTA FE,EXCLUSIVA PEATONAL,SIN,1993-06-26
0101000020E610000042A0263F718452C03E7D4F1CA8741240,103,-74.06941203,4.613922541,357,AV FERNANDO MAZUERA (AK 10) Y KR 7 X CL 27,SANTA FE,EXCLUSIVA PEATONAL,SIN,1993-08-30
0101000020E61000005D5C578A6C8452C0FE43E305E8751240,104,-74.06912478,4.61514291,352,AV ALBERTO LLERAS CAMARGO (AK 7) X CL 28,SANTA FE,"VEHICULAR, PEATONAL","BOTON, SONORO",1993-08-30
0101000020E610000002644B037D8452C0FB6432E223761240,105,-74.07013018,4.61537126,366,KR 13 X CL 28,SANTA FE,"VEHICULAR, PEATONAL",SIN,1993-06-26
0101000020E6100000FE46D843FD8452C0408F1B5D29841240,106,-74.07795807,4.62906404,520,AK 28 X CL 39A,TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1994-05-04
0101000020E6100000D6FCF84BCB8452C07C396A3B5C791240,107,-74.07490825,4.6185159,483,AV MARISCAL SUCRE (AK 19) X AV JORGE ELIECER GAITAN (AC 26),TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1993-01-07
0101000020E61000009D88FA34D98452C0FB2B6663A97A1240,108,-74.07575726,4.61978679,497,KR 19B X AV JORGE ELIECER GAITAN (AC 26),TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1997-04-13
0101000020E61000004993320CCC8452C045AB3607217B1240,109,-74.07495408,4.62024318,481,KR 19B X AC 28,TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1993-01-01
0101000020E61000000146F33AC18452C0C1258458477B1240,110,-74.07429384,4.62038935,470,AV MARISCAL SUCRE (AK 19) X AC 32,TEUSAQUILLO,VEHICULAR,SIN,1993-07-01
0101000020E6100000B757EE1EC38452C0455BF31DDB7E1240,111,-74.07440923,4.62388274,471,KR 20 X AV TEUSAQUILLO (AC 34),TEUSAQUILLO,VEHICULAR,SIN,1993-09-29
0101000020E6100000A5D93C0E038552C0FBBF8ABE48791240,112,-74.0783115,4.61844156,522,KR 19B X CL 24,LOS MARTIRES,"VEHICULAR, PEATONAL",SIN,1994-05-04
0101000020E6100000B524CE8A288552C0C2EB941EB87C1240,113,-74.0805995,4.62179611,542,AV GENERAL SANTANDER (AK 27) X CL 24 Y DG 24BIS,LOS MARTIRES,"VEHICULAR, PEATONAL",SIN,2004-02-17
0101000020E6100000ADBF3FE7268552C0C58E626F187F1240,114,-74.08049947,4.62411665,1146,AV TEUSAQUILLO (AC 25) X DG 24BIS,TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,2009-03-13
0101000020E610000042E4993C0A8552C0FF0D0795FA7E1240,115,-74.0787498,4.62400277,529,AV TEUSAQUILLO (AC 34) X AV JORGE ELIECER GAITAN (AC 26),TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,2012-03-02
0101000020E6100000B9E04E1A518552C03DE038DF3E851240,116,-74.08307512,4.63012265,555,KR 33 X AV JORGE ELIECER GAITAN (AC 26),TEUSAQUILLO,"VEHICULAR, PEATONAL",VIDEO DETECTOR,1997-04-11
0101000020E6100000558EBA4AF58452C0C5C2EAD9BD821240,117,-74.07747143,4.62767735,517,AK 28 X CL 39,TEUSAQUILLO,"VEHICULAR, PEATONAL",SIN,1994-05-04
0101000020E610000042A154B1678452C085BED9E6C6781240,118,-74.0688289,4.61794625,344,AV ALBERTO LLERAS CAMARGO (AK 7) Y KR 13 X CL 32,SANTA FE,"VEHICULAR, PEATONAL",SIN,1993-09-09
0101000020E6100000716E7618D18452C085463AA869601240,119,-74.07526218,4.59415305,945,KR 5 X CL 7,CANDELARIA,"VEHICULAR, PEATONAL",SIN,1998-09-05
0101000020E610000003AE8E90BF8452C00398A75237601240,120,-74.07419218,4.59396104,944,KR 4 X CL 7,CANDELARIA,"VEHICULAR, PEATONAL",SIN,1998-09-05
0101000020E61000001E9C578E738452C083BE869E9C7A1240,121,-74.06955298,4.61973808,1180,KR 13A X CL 32,SANTA FE,"VEHICULAR, PEATONAL","BOTON, SONORO",2010-03-01
0101000020E6100000C15C19545B8552C040637427755D1240,122,-74.08369925,4.59126722,955,AV FERNANDO MAZUERA (AK 10) X CL 2,SANTA FE,"VEHICULAR, PEATONAL",SIN,1993-10-14
0101000020E6100000C9A2B8FC6A8552C043F1884480631240,123,-74.08465498,4.59716899,563,AV CARACAS (AK 14) X AV DE LOS COMUNEROS (AC 6),SANTA FE,"VEHICULAR, PEATONAL",SIN,2000-12-19
0101000020E610000086EB81F1548552C0C26C0F0B4D651240,124,-74.08330953,4.598926709,553,AV CARACAS (AK 14) X CL 8,SANTA FE,EXCLUSIVA PEATONAL,SIN,1993-12-16
0101000020E6100000FDDE1BE0158552C042D85062BE611240,125,-74.07946017,4.59545282,949,KR 9 X CL 7,CANDELARIA,VEHICULAR,SIN,1995-04-10
0101000020E6100000FB534F8B668552C0C55D226AE46B1240,126,-74.0843838,4.60536352,561,AV MARISCAL SUCRE (AK 18) X CL 12,LOS MARTIRES,"VEHICULAR, PEATONAL",SIN,2005-07-13
0101000020E6100000C27574D8548552C03B2F42E34F6D1240,127,-74.08330356,4.60675006,557,AV MARISCAL SUCRE (AK 18) X AV COLON (AC 13),LOS MARTIRES,"VEHICULAR, PEATONAL",SIN,1993-09-16
0101000020E6100000ECBA8FED468552C07D37CE3B886C1240,128,-74.0824541,4.60598844,549,KR 17 X AV COLON (AC 13),LOS MARTIRES,"VEHICULAR, PEATONAL",SIN,1993-09-16
0101000020E6100000DE19D07F0D8552C040C7E8A9A3691240,129,-74.07894893,4.60316339,530,KR 13 X AV JIMENEZ (CL 13),SANTA FE,EXCLUSIVA PEATONAL,SIN,1993-03-09
0101000020E61000003667D0121C8552C0FBC4952F3F6A1240,130,-74.07983847,4.60375666,535,AV CARACAS (AK 14) X AV COLON (AC 13),SANTA FE,"VEHICULAR, PEATONAL",RFID TRANSMILENIO,2001-01-15
0101000020E610000032D5C4E9018552C0429D7642F9681240,131,-74.07824177,4.60251335,521,KR 12 X AV JIMENEZ (CL 13),SANTA FE,EXCLUSIVA PEATONAL,SIN,1993-03-09
0101000020E6100000CAC5941F238552C0BE9BC0F8926F1240,132,-74.08026876,4.60895909,538,KR 17 X CL 17,LOS MARTIRES,VEHICULAR,SIN,2002-10-09
0101000020E6100000CB58C0460A8552C0FBD2BEDACD6B1240,133,-74.07875222,4.60527746,526,AV CARACAS (AK 14) X CL 15,SANTA FE,VEHICULAR,SIN,1995-01-31
0101000020E6100000C9976237C18452C0C152B32868661240,134,-74.07429299,4.60000671,469,KR 7 X CL 12B,CANDELARIA,"VEHICULAR, PEATONAL, BICIUSUARIOS","BOTON, SONORO",1994-05-30
0101000020E6100000ADC490BD9A8452C0BDC0BC5343671240,135,-74.07194461,4.60084277,399,KR 5 X AV JIMENEZ (CL 13),CANDELARIA,"VEHICULAR, PEATONAL",SIN,1997-05-24
